#split.bc
 Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,NumObjects,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime,ForkTime,ResolveTime,QueryCexCacheMisses,QueryCexCacheHits,Breaks,Returns,Switchs,IndirectBrs,Invokes,Resumes,Unreachables,CleanupRets,CatchRets,CatchPads,CatchSwitchs,FNegs,Adds,FAdds,Subs,FSubs,Muls,FMuls,UDivs,SDivs,FDivs,URems,SRems,FRems,Ands,Ors,Xors,Allocas,Loads,Stores,AtomicCmpXchgs,AtomicRMWs,Fences,GetElementPtrs,Truncs,ZExts,SExts,FPTruncs,FPExts,FPToUIs,FPToSIs,UIToFPs,SIToFPs,IntToPtrs,PtrToInts,BitCasts,AddrSpaceCasts,ICmps,FCmps,PHIs,Selects,Calls,Shls,LShrs,AShrs,VAArgs,ExtractElements,InsertElements,ShuffleVectors,ExtractValues,InsertValues,LandingPads,CleanupPads,Cond
171835,58,189,2080,786439.0,0,55382120,46,759,0,697478.0,4106,28844,377386,383135,379176,0,65,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,baseline
171835,58,189,2080,842411.0,0,55408968,45,2125,0,741848.0,4106,28844,392026,398908,395217,0,71,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 0 arg00)))
171835,58,189,2080,956670.0,0,55378608,45,745,0,846844.0,4106,28844,409310,415285,411125,0,62,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 1 arg00)))
171835,58,189,2080,840731.0,0,55378472,45,752,0,842894.0,4106,28844,366057,371624,367740,0,64,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 2 arg00)))
171835,58,189,2080,1008512.0,0,55381544,45,752,0,821411.0,4106,28844,418438,424021,420120,0,63,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 3 arg00)))
171835,58,189,2080,845210.0,0,55381544,45,752,0,683992.0,4106,28844,372914,378186,374476,0,63,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 4 arg00)))
171835,58,189,2080,929703.0,0,55378472,45,752,0,786304.0,4106,28844,384414,389578,385970,0,62,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 5 arg00)))
171835,58,189,2080,990260.0,0,55381544,45,752,0,838632.0,4106,28844,409484,414533,411032,0,64,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 6 arg00)))
171835,58,189,2080,928059.0,0,55378472,45,752,0,708085.0,4106,28844,340214,345533,341820,0,61,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 7 arg00)))
171835,58,189,2080,971759.0,0,55382120,46,759,0,816266.0,4106,28844,421858,427387,423557,0,64,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 8 arg00)))
171835,58,189,2080,806619.0,0,55382120,46,759,0,709954.0,4106,28844,373271,378506,374846,0,65,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 9 arg00)))
171835,58,189,2080,937736.0,0,55382120,46,759,0,793197.0,4106,28844,418996,424648,420584,0,62,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq false      (Eq 45 (Read w8 0 arg00)))
171835,58,189,2080,776752.0,0,55378824,46,759,0,821731.0,4106,28844,419870,425316,421452,0,65,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 0 (Read w8 1 arg00))
171835,58,189,2080,889929.0,0,55379048,46,759,0,780684.0,4106,28844,383982,389595,385648,0,66,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 45 (Read w8 0 arg00))
171835,58,189,2080,855392.0,0,55379048,46,759,0,752577.0,4106,28844,402159,407449,403730,0,62,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq false      (Eq 0 (Read w8 0 arg00)))
171835,58,189,2080,1018097.0,0,55382120,46,759,0,829124.0,4106,28844,433464,439019,435083,0,64,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 45 (Read w8 1 arg00))
171835,58,189,2080,965733.0,0,55379048,46,759,0,804697.0,4106,28844,401263,406624,402857,0,65,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq false      (Eq 45 (Read w8 1 arg00)))
171835,58,189,2080,962451.0,0,55382120,46,759,0,821740.0,4106,28844,414255,419996,415919,0,64,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq false      (Eq 45 (Read w8 0 arg00)))
0,0,0,2080,674482.0,0,54672952,0,0,0,78315.0,0,32950,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(Eq 0 (Read w8 1 arg00))
171835,58,189,2080,920266.0,0,55381512,45,736,0,703238.0,4106,28844,348512,353996,350135,0,64,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 45 (Read w8 1 arg00))
171835,58,189,2080,1032018.0,0,55378440,45,736,0,782403.0,4106,28844,385768,390940,387284,0,64,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 48      (Extract w8 0 (SExt w32 (Read w8 (Extract w32 0 (Add w64 1                                                               (SExt w64 (ZExt w32 (Eq 45 (Read w8 1 arg00))))))                                       [10=0] @ arg00))))
171835,58,189,2080,791558.0,0,55379048,46,759,0,803943.0,4106,28844,419367,424794,420959,0,69,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 49      (Extract w8 0 (SExt w32 (Read w8 (Extract w32 0 (Add w64 1                                                               (SExt w64 (ZExt w32 (Eq 45 (Read w8 1 arg00))))))                                       [10=0] @ arg00))))
171835,58,189,2080,861213.0,0,55382120,46,759,0,731826.0,4106,28844,368225,373615,369795,0,64,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 50      (Extract w8 0 (SExt w32 (Read w8 (Extract w32 0 (Add w64 1                                                               (SExt w64 (ZExt w32 (Eq 45 (Read w8 1 arg00))))))                                       [10=0] @ arg00))))
171835,58,189,2080,857015.0,0,55381544,45,732,0,732819.0,4106,28844,378644,383929,380225,0,61,45,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 0      (Read w8 (Extract w32 0 (Add w64 2                                       (SExt w64 (ZExt w32 (Eq 45 (Read w8 1 arg00))))))               [10=0] @ arg00))
171835,58,189,2080,957723.0,0,55379048,46,759,0,809247.0,4106,28844,407817,413308,409414,0,66,46,-1,23650,1067,3,0,0,0,0,0,0,0,0,0,8209,0,1248,0,81,0,4,0,0,1,0,0,118,14,17,5247,51863,34709,0,0,0,16499,598,5608,2559,0,0,0,0,0,0,1,97,146,0,12603,0,1261,3,6198,25,0,6,0,0,0,0,0,0,0,0,(Eq 58      (Read w8 (Extract w32 0 (Add w64 1                                       (SExt w64 (ZExt w32 (Eq 45 (Read w8 1 arg00))))))               [10=0] @ arg00))
