#tee.bc
 Instructions,FullBranches,PartialBranches,NumBranches,UserTime,NumStates,MallocUsage,NumQueries,NumQueryConstructs,NumObjects,WallTime,CoveredInstructions,UncoveredInstructions,QueryTime,SolverTime,CexCacheTime,ForkTime,ResolveTime,QueryCexCacheMisses,QueryCexCacheHits,Breaks,Returns,Switchs,IndirectBrs,Invokes,Resumes,Unreachables,CleanupRets,CatchRets,CatchPads,CatchSwitchs,FNegs,Adds,FAdds,Subs,FSubs,Muls,FMuls,UDivs,SDivs,FDivs,URems,SRems,FRems,Ands,Ors,Xors,Allocas,Loads,Stores,AtomicCmpXchgs,AtomicRMWs,Fences,GetElementPtrs,Truncs,ZExts,SExts,FPTruncs,FPExts,FPToUIs,FPToSIs,UIToFPs,SIToFPs,IntToPtrs,PtrToInts,BitCasts,AddrSpaceCasts,ICmps,FCmps,PHIs,Selects,Calls,Shls,LShrs,AShrs,VAArgs,ExtractElements,InsertElements,ShuffleVectors,ExtractValues,InsertValues,LandingPads,CleanupPads,Cond
172249,64,197,1507,937194.0,0,47468832,26,294,0,673103.0,4330,20822,291981,294648,292804,0,61,26,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,baseline
172249,64,197,1507,760608.0,0,47471528,25,284,0,582758.0,4330,20822,229866,232365,230636,0,67,25,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 0 arg00)))
172249,64,197,1507,958181.0,0,47468072,25,280,0,633812.0,4330,20822,238475,240974,239236,0,65,25,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 1 arg00)))
172249,64,197,1507,801311.0,0,47468256,25,287,0,637597.0,4330,20822,257337,259920,258116,0,69,25,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 2 arg00)))
172249,64,197,1507,736843.0,0,47471328,25,287,0,598303.0,4330,20822,246476,248759,247154,0,55,25,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 3 arg00)))
172249,64,197,1507,690379.0,0,47471328,25,287,0,593970.0,4330,20822,258374,260904,259160,0,63,25,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 4 arg00)))
172249,64,197,1507,674616.0,0,47471328,25,287,0,543645.0,4330,20822,248354,251038,249113,0,62,25,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 5 arg00)))
172249,64,197,1507,674937.0,0,47468256,25,287,0,630689.0,4330,20822,250695,253104,251408,0,60,25,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 6 arg00)))
172249,64,197,1507,885164.0,0,47468256,25,287,0,647750.0,4330,20822,271152,273732,271922,0,71,25,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 7 arg00)))
172249,64,197,1507,737733.0,0,47471904,26,294,0,633530.0,4330,20822,270440,272947,271206,0,58,26,-1,23663,1080,3,0,0,0,0,0,0,0,0,0,8235,0,1247,0,81,0,5,0,0,1,0,0,125,16,17,5302,51978,34835,0,0,0,16540,601,5615,2508,0,0,0,0,0,0,2,98,145,0,12605,0,1261,3,6252,25,0,6,0,0,0,0,0,0,0,0,(Sle 32       (SExt w32 (Read w8 8 arg00)))
